,Cidade,UF,Código,Latitude,Longitude,Altitude,geometry,Dis_1,Viz_1,Dis_2,Viz_2,Dis_3,Viz_3,Dis_4,Viz_4,Dis_5,Viz_5,Dis_6,Viz_6,Dis_7,Viz_7,Dis_8,Viz_8,Dis_9,Viz_9,Dis_10,Viz_10
0,ARCO VERDE,PE,A309,-8.41694443,-37.08333333,680.7,POINT (-37.08333333 -8.41694443),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
1,VENTANIA,PR,A872,-24.23833333,-50.24555555,1106,POINT (-50.24555555 -24.23833333),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
2,RONDON DO PARA,PA,A214,-4.82749999,-48.17333332,203,POINT (-48.17333332 -4.82749999),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
3,BALSAS,MA,A204,-7.45527777,-46.02749999,254,POINT (-46.02749999 -7.45527777),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
4,HUMAITA,AM,A112,-7.92277777,-63.12138888,72,POINT (-63.12138888 -7.92277777),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
5,ITUMBIARA,GO,A035,-18.40972222,-49.19194444,488,POINT (-49.19194444 -18.40972222),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
6,SALINOPOLIS,PA,A215,-.6186111,-47.35666666,41,POINT (-47.35666666 -0.6186111),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
7,PASSA QUATRO,MG,A529,-22.3961111,-44.96166666,1040,POINT (-44.96166666 -22.3961111),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
8,FLORESTAL,MG,A535,-19.88527778,-44.41694444,750,POINT (-44.41694444 -19.88527778),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
9,SANTA MARIA,RS,A803,-29.70833333,-53.70361111,95,POINT (-53.70361111 -29.70833333),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
10,PRESIDENTE FIGUEIREDO,AM,A126,-2.08499999,-60.04888888,92,POINT (-60.04888888 -2.08499999),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
11,JAGUARAO,RS,A836,-32.53749999,-53.37638888,47,POINT (-53.37638888 -32.53749999),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
12,SAO MIGUEL ARCANJO,SP,A715,-23.85138888,-48.16444444,678,POINT (-48.16444444 -23.85138888),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
13,FORTALEZA,CE,A305,-3.83222221,-38.53777777,26.45,POINT (-38.53777777 -3.83222221),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
14,UBERLANDIA,MG,A507,-18.91722221,-48.25555555,869,POINT (-48.25555555 -18.91722221),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
15,Laguna  - Farol de Santa Marta,SC,A866,-28.60416666,-48.81333333,52,POINT (-48.81333333 -28.60416666),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
16,NOVO HORIZONTE,SC,A816,-26.40694444,-52.85055555,960,POINT (-52.85055555 -26.40694444),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
17,CRISTALINA,GO,A036,-16.78805555,-47.61166666,1202,POINT (-47.61166666 -16.78805555),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
18,OIAPOQUE,AP,A242,3.81361111,-51.8625,21,POINT (-51.8625 3.81361111),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
19,JAGUARUANA,CE,A339,-4.85333333,-37.77694443,12,POINT (-37.77694443 -4.85333333),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
20,BREJO GRANDE,SE,A421,-10.47944443,-36.48194443,6.11,POINT (-36.48194443 -10.47944443),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
21,TUCURUI,PA,A229,-3.82277777,-49.67499999,148,POINT (-49.67499999 -3.82277777),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
22,OURO BRANCO,MG,A513,-20.54583333,-43.76944443,1061,POINT (-43.76944443 -20.54583333),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
23,TRES MARIAS,MG,A528,-18.20055555,-45.45972222,921,POINT (-45.45972222 -18.20055555),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
24,ARAPIRACA,AL,A353,-9.80416666,-36.61888888,241,POINT (-36.61888888 -9.80416666),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
25,GOIANESIA,GO,A022,-15.22027777,-48.99027777,667,POINT (-48.99027777 -15.22027777),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
26,PARINTINS,AM,A123,-2.64055555,-56.75472222,52,POINT (-56.75472222 -2.64055555),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
27,SAO MATEUS,ES,A616,-18.71388888,-39.84833333,39,POINT (-39.84833333 -18.71388888),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
28,AMAMBAI,MS,A750,-23.0025,-55.32944443,431,POINT (-55.32944443 -23.0025),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
29,AUTAZES,AM,A120,-2.05638888,-60.02555554,78,POINT (-60.02555554 -2.05638888),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
30,VALENCA,BA,A444,-13.3436111,-39.12666666,105,POINT (-39.12666666 -13.3436111),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
31,CAICO,RN,A316,-6.45972222,-37.08888888,169.85,POINT (-37.08888888 -6.45972222),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
